heard_of_imposter_syndrome,year
yes,first-year
yes,first-year
yes,sophomore
yes,senior
yes,sophomore
yes,first-year
yes,junior
yes,first-year
no,junior
yes,first-year
no,sophomore
no,sophomore
yes,first-year
no,junior
yes,junior
yes,sophomore
yes,first-year
yes,senior
yes,junior
yes,sophomore
no,first-year
yes,junior
yes,first-year
no,senior
yes,senior
no,sophomore
yes,senior
yes,junior
yes,senior
yes,sophomore
yes,junior
yes,senior
no,first-year
no,senior
yes,senior
yes,first-year
no,sophomore
no,senior
yes,first-year
yes,senior
yes,first-year
yes,junior
yes,junior
yes,sophomore
yes,first-year
